aberto,aberta
administrativo,administrativa
adulto,adulta
adversario,adversaria
advocaticio,advocaticia
advogado,advogada
aereo,aerea
agrario,agraria
agronomo,agronoma
agropecuario,agropecuaria
agudo,aguda
alemao,alema
alimenticio,alimenticia
aluno,aluna
ambulatorio,ambulatoria
americano,americana
anonimo,anonima
antigo,antiga
arquiteto,arquiteta
artesao,artesa
ativo,ativa
ator,atriz
auditor,auditora
autonomo,autonoma
auxiliar,auxiliara
bailarino,bailarina
bancario,bancaria
barbeiro,barbeira
bibliotecario,bibliotecaria
biologo,biologa
biomedico,biomedica
bovino,bovina
cabeleireiro,cabeleireira
canino,canina
carnavalesco,carnavalesca
cartografo,cartografa
cego,cega
chines,chinesa
cientifico,cientifica
cirurgico,cirurgica
clandestino,clandestina
clinico,clinica
colhedor,colhedora
comissario,comissaria
complexo,complexa
comprador,compradora
confeiteiro,confeiteira
consultor,consultora
contador,contadora
controlador,controladora
coordenador,coordenadora
copeiro,copeira
corretor,corretora
costureiro,costureira
cozinheiro,cozinheira
cuidador,cuidadora
dancarino,dancarina
demonstrador,demonstradora
dentario,dentaria
depilatorio,depilatoria
dermoconsultor,dermoconsultora
desnecessario,desnecessaria
destinatario,destinataria
digitador,digitadora
discreto,discreta
diurno,diurna
documentador,documentadora
editor,editora
eleito,eleita
eletrico,eletrica
eletroeletronico,eletroeletronica
eletronico,eletronica
eletrotecnico,eletrotecnica
encarregado,encarregada
enfermeiro,enfermeira
engenheiro,engenheira
escriturario,escrituraria
espanhol,espanhola
estagiario,estagiaria
europeu,europeia
examinador,examinadora
executivo,executiva
externo,externa
farmaceutico,farmaceutica
faxineiro,faxineira
feminina,feminino
ferreo,ferrea
fiduciario,fiduciaria
financeiro,financeira
fonoaudiologo,fonoaudiologa
frances,francesa
funcionario,funcionaria
fundiario,fundiaria
funerario,funeraria
garcom,garconete
genuina,genuino
gratuito,gratuita
hidrografo,hidrografa
hora,hor
humanitario,humanitaria
imobiliario,imobiliaria
ingles,inglesa
instrumentador,instrumentadora
instrutor,instrutora
interno,interna
italiano,italiana
japones,japonesa
judiciario,judiciaria
julina,julino
junina,junino
juridico,juridica
latino,latina
lei,leis
ligador,ligadora
logistico,logistica
mecanico,mecanica
medico,medica
monetario,monetaria
monitor,monitora
natalino,natalina
noturno,noturna
novo,nova
operador,operadora
optico,optica
orientador,orientadora
pedagogico,pedagogica
pedagogo,pedagoga
piloteiro,piloteira
portugues,portuguesa
professor,professora
programador,programadora
promotor,promotora
proprietario,proprietaria
psicologo,psicologa
psicopedagogo,psicopedagoga
publicitario,publicitaria
quimico,quimica
recuperador,recuperadora
remoto,remota
resenha,resenho
respiratorio,respiratoria
secretario,secretaria
secundario,secundaria
sedentario,sedentaria
seminovo,seminova
societario,societaria
sociologo,sociologa
socio,socia
supervisor,supervisora
surdo,surda
tecnico,tecnica
tecnologo,tecnologa
tosador,tosadora
tradutor,tradutora
tributario,tributaria
universitario,universitaria
universitario,universitario
urbano,urbana
usuario,usuaria
vazio,vazia
vegetariano,vegetariana
vendedor,vendedora
vendodor,vendodora
veterinario,veterinaria
vida,vido
voluntario,voluntaria
